Month,Longitude,Latitude,Crime type
2021-01,-0.270512,51.507828,Theft from the person
2021-01,-0.267446,51.506982,Theft from the person
2021-01,-0.267446,51.506982,Theft from the person
2021-01,-0.272554,51.507552,Theft from the person
2021-01,-0.269999,51.506921,Theft from the person
2021-01,-0.383118,51.512141,Theft from the person
2021-01,-0.377124,51.510871,Theft from the person
2021-01,-0.282515,51.502861,Theft from the person
2021-01,-0.324335,51.510138,Theft from the person
2021-01,-0.324335,51.510138,Theft from the person
2021-01,-0.326101,51.510712,Theft from the person
2021-01,-0.325215,51.509323,Theft from the person
2021-01,-0.355069,51.509467,Theft from the person
2021-01,-0.361404,51.501579,Theft from the person
2021-01,-0.334017,51.51059,Theft from the person
2021-01,-0.256127,51.500367,Theft from the person
2021-01,-0.38286,51.503136,Theft from the person
2021-01,-0.385487,51.499737,Theft from the person
2021-01,-0.041026,51.671975,Theft from the person
2021-01,-0.040156,51.67169,Theft from the person
2021-01,-0.043066,51.669608,Theft from the person
2021-01,-0.025777,51.666441,Theft from the person
2021-01,-0.046807,51.65727,Theft from the person
2021-01,-0.047917,51.663736,Theft from the person
2021-01,-0.077788,51.660748,Theft from the person
2021-01,-0.049637,51.65265,Theft from the person
2021-01,-0.116951,51.64972,Theft from the person
2021-01,-0.032267,51.653825,Theft from the person
2021-01,-0.080565,51.651478,Theft from the person
2021-01,-0.08142,51.651078,Theft from the person
2021-01,-0.084177,51.651186,Theft from the person
2021-01,-0.131247,51.634265,Theft from the person
2021-01,-0.045781,51.630041,Theft from the person
2021-01,-0.066308,51.617234,Theft from the person
2021-01,-0.071673,51.62868,Theft from the person
2021-01,-0.064826,51.622533,Theft from the person
2021-01,-0.060455,51.622057,Theft from the person
2021-01,-0.058976,51.625566,Theft from the person
2021-01,-0.056526,51.625418,Theft from the person
2021-01,-0.056526,51.625418,Theft from the person
2021-01,-0.060455,51.622057,Theft from the person
2021-01,-0.061491,51.621139,Theft from the person
2021-01,-0.059579,51.609048,Theft from the person
2021-01,-0.065236,51.614249,Theft from the person
2021-01,-0.065236,51.614249,Theft from the person
2021-01,-0.086434,51.612331,Theft from the person
2021-01,-0.089575,51.613218,Theft from the person
2021-01,-0.110306,51.608581,Theft from the person
2021-01,-0.1121,51.616172,Theft from the person
2021-01,-0.081947999999999993,51.608768,Theft from the person
2021-01,-0.067072,51.610826,Theft from the person
2021-01,-0.06849,51.610085,Theft from the person
2021-01,-0.074279,51.613544,Theft from the person
2021-01,-0.074279,51.613544,Theft from the person
2021-01,0.072015,51.490496,Theft from the person
2021-01,0.073514,51.495281,Theft from the person
2021-01,0.09874,51.487422,Theft from the person
2021-01,0.080333,51.494746,Theft from the person
